CustomerID,total_revenue,Country,rank,row_number
14646,280206.02,Netherlands,1,1
18102,259657.3,United Kingdom,2,2
17450,194550.79,United Kingdom,3,3
16446,168472.5,United Kingdom,4,4
14911,143825.06,EIRE,5,5
12415,124914.53,Australia,6,6
14156,117379.63,EIRE,7,7
17511,91062.38,United Kingdom,8,8
16029,81024.84,United Kingdom,9,9
12346,77183.6,United Kingdom,10,10
16684,66653.56,United Kingdom,11,11
14096,65164.79,United Kingdom,12,12
13694,65039.62,United Kingdom,13,13
15311,60767.9,United Kingdom,14,14
13089,58825.83,United Kingdom,15,15
17949,58510.48,United Kingdom,16,16
15769,56252.72,United Kingdom,17,17
15061,54534.14,United Kingdom,18,18
14298,51527.3,United Kingdom,19,19
14088,50491.81,United Kingdom,20,20
15749,44534.3,United Kingdom,21,21
12931,42055.96,United Kingdom,22,22
17841,40991.57,United Kingdom,23,23
15098,39916.5,United Kingdom,24,24
13798,37153.85,United Kingdom,25,25
16013,37130.6,United Kingdom,26,26
16422,34684.4,United Kingdom,27,27
12748,33719.73,United Kingdom,28,28
15838,33643.08,United Kingdom,29,29
17404,31906.82,Sweden,30,30
17389,31833.68,United Kingdom,31,31
13098,28882.44,United Kingdom,32,32
14680,28754.11,United Kingdom,33,33
13081,28337.38,United Kingdom,34,34
13408,28117.04,United Kingdom,35,35
17857,26879.04,United Kingdom,36,36
16333,26626.8,United Kingdom,37,37
13777,25977.16,United Kingdom,38,38
12753,21429.39,Japan,39,39
12744,21279.29,Singapore,40,40
16210,21086.3,United Kingdom,41,41
17675,20374.28,United Kingdom,42,42
17381,20275.61,United Kingdom,43,43
15039,19914.44,United Kingdom,44,44
12471,19824.05,Germany,45,45
12731,18895.91,France,46,46
15159,18641.01,United Kingdom,47,47
12901,17654.54,United Kingdom,48,48
12678,17628.46,France,49,49
14031,17286.86,United Kingdom,50,50
17428,17256.85,United Kingdom,51,51
13767,17220.36,United Kingdom,52,52
13881,17159.52,United Kingdom,53,53
16839,16594.35,United Kingdom,54,54
12921,16587.09,United Kingdom,55,55
14607,16569.5,United Kingdom,56,56
15856,16387.57,United Kingdom,57,57
17677,16363.23,United Kingdom,58,58
15189,16225.39,United Kingdom,59,59
14051,15610.39,United Kingdom,60,60
15513,14758.22,United Kingdom,61,61
16133,14589.04,United Kingdom,62,62
14866,14389.9,United Kingdom,63,63
16705,14034.99,United Kingdom,64,64
12681,13787.54,France,65,65
12621,13689.67,Germany,66,66
12540,13400.24,Spain,67,67
12433,13375.87,Norway,68,68
15498,13316.4,United Kingdom,69,69
12477,13219.74,Germany,70,70
17735,13110.02,United Kingdom,71,71
16525,13027.45,United Kingdom,72,72
14258,12669.98,United Kingdom,73,73
13078,12627.94,United Kingdom,74,74
12536,12601.83,France,75,75
15640,12515.66,United Kingdom,76,76
16000,12393.7,United Kingdom,77,77
17340,12353.29,United Kingdom,78,78
12682,12288.22,France,79,79
13113,12245.96,United Kingdom,80,80
14606,12156.65,United Kingdom,81,81
12557,11990.96,Spain,82,82
12939,11581.8,United Kingdom,83,83
15125,11528.48,United Kingdom,84,84
14194,11349.52,United Kingdom,85,85
12971,11189.91,United Kingdom,86,86
14895,11138.71,United Kingdom,87,87
12409,11072.67,Switzerland,88,88
15482,11054.96,United Kingdom,89,89
17581,11045.04,United Kingdom,90,90
13319,10845.55,United Kingdom,91,91
17107,10815.43,United Kingdom,92,92
13340,10736.48,United Kingdom,93,93
14769,10674.75,United Kingdom,94,94
17139,10668.47,United Kingdom,95,95
16779,10629.72,United Kingdom,96,96
17865,10526.32,United Kingdom,97,97
17706,10504.49,United Kingdom,98,98
15251,10484.99,United Kingdom,99,99
14062,10464.85,United Kingdom,100,100
15615,10399.74,United Kingdom,101,101
15502,10384.93,United Kingdom,102,102
16180,10254.18,United Kingdom,103,103
16843,10196.57,United Kingdom,104,104
12590,9864.26,Germany,105,105
13001,9818.82,United Kingdom,106,106
13199,9817.12,United Kingdom,107,107
15078,9743.11,United Kingdom,108,108
12709,9736.52,Germany,109,109
13458,9646.57,United Kingdom,110,110
14733,9585.91,United Kingdom,111,111
16523,9418.47,United Kingdom,112,112
12567,9401.28,France,113,113
14367,9261.52,United Kingdom,114,114
14667,9241.2,United Kingdom,115,115
18092,9068.26,United Kingdom,116,116
13969,9053.94,United Kingdom,117,117
12451,9035.52,Switzerland,118,118
13488,8968.31,United Kingdom,119,119
13090,8910.82,United Kingdom,120,120
16033,8816.4,United Kingdom,121,121
17017,8694.26,United Kingdom,122,122
17243,8676.85,United Kingdom,123,123
17306,8631.31,United Kingdom,124,124
16656,8625.8,United Kingdom,125,125
14527,8508.82,United Kingdom,126,126
12683,8476.57,France,127,127
18139,8438.34,United Kingdom,128,128
15358,8347.2,United Kingdom,129,129
16558,8338.49,United Kingdom,130,130
14056,8214.65,United Kingdom,131,131
14936,8137.02,Channel Islands,132,132
16672,8134.94,United Kingdom,133,133
13854,8109.52,United Kingdom,134,134
14952,8099.49,United Kingdom,135,135
18109,8052.97,United Kingdom,136,136
14796,8022.49,United Kingdom,137,137
12428,7956.46,Finland,138,138
15290,7943.22,United Kingdom,139,139
14849,7930.54,United Kingdom,140,140
12757,7857.1,Portugal,141,141
17811,7837.73,United Kingdom,142,142
13093,7832.47,United Kingdom,143,143
12435,7829.89,Denmark,144,144
13629,7792.36,United Kingdom,145,145
15044,7700.23,United Kingdom,146,146
15194,7616.53,United Kingdom,147,147
18172,7561.68,United Kingdom,148,148
13263,7454.07,United Kingdom,149,149
12474,7375.79,Germany,150,150
12980,7374.9,United Kingdom,151,151
15465,7354.62,United Kingdom,152,152
17396,7330.8,United Kingdom,153,153
12583,7281.38,France,154,154
13018,7277.7,United Kingdom,155,155
18229,7276.9,United Kingdom,156,156
16923,7247.61,United Kingdom,157,157
16729,7239.92,United Kingdom,158,158
16745,7194.3,United Kingdom,159,159
