Country,num_facturas,total_cantidad,total_revenue
United Kingdom,16649,4269472,7308391.55
Netherlands,95,200937,285446.34
EIRE,260,140525,265545.9
Germany,457,119263,228867.14
France,389,111472,209024.05
Australia,57,84209,138521.31
Spain,90,27951,61577.11
Switzerland,51,30083,56443.95
Belgium,98,23237,41196.34
Sweden,36,36083,38378.33
Japan,19,26016,37416.37
Norway,36,19338,36165.44
Portugal,57,16122,33439.89
Finland,41,10704,22546.08
Singapore,7,5241,21279.29
Channel Islands,26,9491,20450.44
Denmark,18,8235,18955.34
Italy,38,8112,17483.24
Cyprus,16,6361,13590.38
Austria,17,4881,10198.68
Poland,19,3684,7334.65
Israel,5,4046,7221.69
Greece,5,1557,4760.52
Iceland,7,2458,4310.0
Canada,6,2763,3666.38
USA,5,2458,3580.39
Malta,5,970,2725.59
Unspecified,8,1789,2667.07
United Arab Emirates,3,982,1902.28
Lebanon,1,386,1693.88
Lithuania,4,652,1661.06
European Community,4,499,1300.25
Brazil,1,356,1143.6
RSA,1,352,1002.31
Czech Republic,2,671,826.74
Bahrain,2,260,548.4
Saudi Arabia,1,80,145.92
